  PID TTY      STAT   TIME COMMAND
 2461 ?        Ssl   10:08 /usr/lib/jvm/java-1.8-openjdk/bin/java -Xms2g -Xmx2g -XX:+UseConcMarkSweepGC -XX:CMSInitiatingOccupancyFraction=75 -XX:+UseCMSInitiatingOccupancyOnly -XX:+DisableExplicitGC -XX:+AlwaysPreTouch -server -Xss1m -
 2496 ?        Ss     0:00 /bin/sh /opt/rabbitmq/sbin/rabbitmq-server
 2509 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 3306 -container-ip 172.18.0.4 -container-port 3306
 2554 ?        Sl     0:00 docker-containerd-shim 2998f66d2265c42b0d7f70e20fbb7e7d8411b9ec49fb9b0c653626355487de7d /var/run/docker/libcontainerd/2998f66d2265c42b0d7f70e20fbb7e7d8411b9ec49fb9b0c653626355487de7d docker-runc
 2585 ?        Ssl    3:02 mysqld
 2595 ?        S      0:00 [kworker/0:2]
 2856 ?        S      0:00 /usr/lib/erlang/erts-8.3/bin/epmd -daemon
 2998 ?        Sl     6:27 /usr/lib/erlang/erts-8.3/bin/beam.smp -W w -A 64 -P 1048576 -t 5000000 -stbt db -zdbbl 32000 -K true -B i -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa /opt/rabbitmq/ebin -noshell -n
 3096 ?        Ss     0:00 erl_child_setup 524288
 3217 ?        S      0:00 [kworker/u8:0]
 3247 ?        Ss     0:00 inet_gethost 4
 3248 ?        S      0:00 inet_gethost 4
 3311 ?        Ss     0:00 sshd: root@pts/2    
 3376 pts/2    Ss+    0:00 -bash
 3564 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 5601 -container-ip 172.18.0.5 -container-port 5601
 3570 ?        Sl     0:01 docker-containerd-shim 6bb0f0fe9dd75673524b9e4b1d738c251cd9371e0f0cf25b9247a87798ae3f18 /var/run/docker/libcontainerd/6bb0f0fe9dd75673524b9e4b1d738c251cd9371e0f0cf25b9247a87798ae3f18 docker-runc
 3588 ?        Ss     0:00 /bin/sh -c /usr/local/bin/kibana-docker
 3632 ?        Sl     2:33 /usr/share/kibana/bin/../node/bin/node --no-warnings /usr/share/kibana/bin/../src/cli
 4315 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 9601 -container-ip 172.18.0.6 -container-port 9601
 4327 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 9600 -container-ip 172.18.0.6 -container-port 9600
 4334 ?        Sl     0:02 docker-containerd-shim 57dbc95f61492e5d26a58a15fb7c4a0eda46e62c93ecd157226ac2e0819ec56b /var/run/docker/libcontainerd/57dbc95f61492e5d26a58a15fb7c4a0eda46e62c93ecd157226ac2e0819ec56b docker-runc
